sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Mobiliario. Valoración de la ignición de colchones y bases tapizadas. Parte 2: fuente de ignición: llama equivalente a una cerilla ";"";"Asociación Española de Normalización y Certificación (AENOR)";"1995";"";"";"";"UNE-EN 597-2";"97.140; 13.220.40";"Muebles; Mobiliario; Camas; Colchones; Bases tapizadas; Métodos de ensayo; Fuego; Ignición; Combustión; Cerillas; Fósforos";""
"Plásticos. Núcleo de espuma de poliuretano (PUR) para colchones. Características y métodos de ensayo";"";"Asociación Española de Normalización y Certificación (AENOR)";"2000";"";"";"";"UNE 53231";"83.140.01-20; 83.140.20;  97.140";"Muebles; Mobiliario; Camas; Colchones; Plásticos; Espumas de poliuretano; Métodos de ensayo; Características";""
"Instalaciones fijas contra incendio. Sistemas fijos de agua fraccionada";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"1990";"";"";"";"IRAM 3636";"13.220.20";"Fuego; Incendios; Extinción; Instalaciones fijas; Agua; Suministro de agua; Protección contra incendios";""
"Cajas de cartón corrugado. Método de ensayo de la resistencia al agua, aplicada por pulverización";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1965";"";"";"";"IRAM 33056";"55.160.00";"Cartón corrugado; Métodos de ensayo; Resistencia de materiales; Agua; Envases; Pulverización";""
"Cartón corrugado. Método de determinación de la absorción superficial de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1972";"";"";"";"IRAM 33064";"85.060.00";"Cartón corrugado; Métodos de determinación; Agua; Absorción superficial";""
"Té. Determinación de las cenizas solubles en agua y de las insolubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1997";"";"";"";"IRAM 20606";"67.140.10";"Bebidas; Te; Metodos de determinacion; Cenizas insolubles; Cenizas solubles; Agua";""
"Miel. Determinación de sólidos insolubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2008";"";"";"";"IRAM 15936";"67.180.10";"Alimentos; Miel; Métodos de determinación; Sólidos insolubles; Agua";""
"Toxicidad, permanencia y eficacia de preservadores de madera. Método de laboratorio";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1962";"";"";"";"IRAM 9518";"79.020.00";"Maderas; Preservantes de maderas; Toxicidad; Eficacia; Métodos de ensayo";""
"Mecánica de suelos. Método de determinación de la absorción de agua de un terreno, por la técnica de Lugeon";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1983";"";"";"";"IRAM 10532";"93.020.00";"Suelos; Mecánica del suelo; Métodos de determinación; Absorción; Agua";""
"Mecánica de suelos. Método de determinación de la permeabilidad "In situ" por la técnica Lefranc";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1985";"";"";"";"IRAM 10531";"93.020.00";"Suelos; Mecánica del suelo; Método de determinación; Permeabilidad; Agua";""
"Biocombustibles sólidos. Método para la determinación del poder calorífico";"";"Asociación Española de Normalización y Certificación (AENOR)";"2005";"";"";"";"UNE 164001:EX";"75.160.10";"Biocombustibles; Biocombustibles sólidos; Métodos de determinación; Poder calorífico; Calorimetría; Temperatura; Presión; Vapor";""
"Papel e produto para fins sanitários - Determinacao da capacidade e tempo de absorcao de água";"";"Associacao Brasileira de Normas Técnicas (ABNT)";"2003";"";"";"";"NBR15004";"";"Papel tissue; Determinación; Absorcion; Tiempo; Agua";""
"Tintas para impresión. Método comparativo para determinar el color y del poder cubritivo";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1966";"";"";"";"IRAM 31303";"87.080.00";"Tintas para impresión";""
"Té. Determinación de la alcalinidad de las cenizas solubles en agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1997";"";"";"";"IRAM 20608";"67.140.10";"Bebidas; Te; Métodos de determinacion; Alcalinidad; Cenizas solubles; Agua";""
"Plastics piping systems for the transport of water intended for human consumption -- Migration assessment -- Determination of migration values of plastics pipes and fittings and their joints";"";"International Organization for Standardization (ISO)";"2001";"";"";"";"ISO 8795";"23.040.20; 91.140.60";"Plásticos; Tuberías; Agua; Abastecimiento de agua; Métodos de determinación; Migración; Temperatura; Ensamblado; Juntas; Uniones; Acoples";""
